id;nombre;descripcion;precio;precio_gratis
1;clef wee er;impractical forearm;29232.88;10850.76
2;weakly nerve even;carbonise likely annually;27937.9;25515.47
3;ripe;incidentally;16172.72;27522.91
4;provided briefly failing;laud;6223.24;29409.31
5;veto aboard agreeable;loudly uselessly;11114.2;25384.43
6;although righteously popsicle;briefly doubtfully meh;919.67;2041.19
7;uh-huh why huge;piglet;7409.84;4579.65
8;willfully consequently uncork;without lest;28091.31;361.09
9;brightly partial covenant;whereas granny miserably;4343.19;27048.86
10;except;meh hastily;29014.24;2286.1
