id;codigo;nombre;descripcion;precio_base;moneda
1;remould separate foolish;regarding because;../fake-data/blob/hipster.txt;17769.5;awkwardly helpfully fooey
2;puppet;save extroverted;../fake-data/blob/hipster.txt;31461.2;aha than
3;after as;ick;../fake-data/blob/hipster.txt;28171.27;majestically trafficker spite
4;disastrous address absent;cushion;../fake-data/blob/hipster.txt;15047.55;questioningly
5;mechanically that;jittery;../fake-data/blob/hipster.txt;30317.38;misspend
6;likewise;jaggedly evenly;../fake-data/blob/hipster.txt;24490;pioneer
7;smoothly deceivingly gosh;cluck;../fake-data/blob/hipster.txt;32476.36;soon gadzooks
8;duh policy;loyal;../fake-data/blob/hipster.txt;24609.73;gleefully
9;flatboat nor crossly;around mobile as;../fake-data/blob/hipster.txt;7680.29;pfft
10;blunder ah criticize;gah fooey batting;../fake-data/blob/hipster.txt;1646.41;strike
