id;codigo;nombre;descripcion;precio_adicional
1;embezzle urban;chaperon considering but;nun anxiously poem;5142.64
2;ew;gleefully;anenst sweet loyal;31100.23
3;college;yowza;masculine once;19026.63
4;walker smart;supposing why ew;clan;10695.55
5;beating whenever yahoo;likewise;sympathetically;8522.63
6;woot mixed ugh;surround;shin meanwhile so;20188.47
7;amidst quaintly ew;down recognition;underneath;5964.52
8;diadem;brightly;now in fiercely;20199.94
9;poorly;on up;peacoat;4741.23
10;boohoo viciously;mortally;guideline;24458.38
